Total budget,Pääluokan nimi,Menoluvun nimi,Menomomentin nimi,total
Koko budjetti,EDUSKUNTA,Kansanedustajat,Kansanedustajien toimintamenot,22743000
Koko budjetti,EDUSKUNTA,Eduskunnan kanslia,Eduskunnan kanslian toimintamenot,61122000
Koko budjetti,EDUSKUNTA,Eduskunnan kanslia,Arvonlisäveromenot,6200000
Koko budjetti,EDUSKUNTA,Eduskunnan kanslia,Avustajatuki eduskuntaryhmille,6270000
Koko budjetti,EDUSKUNTA,Eduskunnan kanslia,Tietohallinnon laitehankinnat ja kehittämishankkeet,5000000
Koko budjetti,EDUSKUNTA,Eduskunnan oikeusasiamies,Eduskunnan oikeusasiamiehen kanslian toimintamenot,8531000
Koko budjetti,EDUSKUNTA,Ulkopoliittinen instituutti,Ulkopoliittisen instituutin toimintamenot,4309000
Koko budjetti,EDUSKUNTA,Ulkopoliittinen instituutti,Arvonlisäveromenot,230000
Koko budjetti,EDUSKUNTA,Valtiontalouden tarkastusvirasto,Valtiontalouden tarkastusviraston toimintamenot,17062000
Koko budjetti,EDUSKUNTA,Valtiontalouden tarkastusvirasto,Arvonlisäveromenot,750000
Koko budjetti,EDUSKUNTA,Eduskunnan muut menot,Eduskuntaryhmien ryhmäkanslioiden tukeminen,4880000
Koko budjetti,TASAVALLAN PRESIDENTTI,Tasavallan presidentti,Tasavallan presidentin palkkio,126000
Koko budjetti,TASAVALLAN PRESIDENTTI,Tasavallan presidentin kanslia,Tasavallan presidentin kanslian toimintamenot,8707000
Koko budjetti,TASAVALLAN PRESIDENTTI,Tasavallan presidentin kanslia,Entisten tasavallan presidenttien menot,500000
Koko budjetti,TASAVALLAN PRESIDENTTI,Tasavallan presidentin kanslia,Vierailuista ja kokousmatkoista aiheutuvat menot,2550000
Koko budjetti,TASAVALLAN PRESIDENTTI,Tasavallan presidentin kanslia,Arvonlisäveromenot,8000000
Koko budjetti,TASAVALLAN PRESIDENTTI,Tasavallan presidentin kanslia,Perusparannukset,20000000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Hallinto,Valtioneuvoston kanslian toimintamenot,153189000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Hallinto,Ministereiden heidän valtiosihteeriensä ja erityisavustajiensa palkkaukset,10366000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Hallinto,Euroopan unionin kansallisten asiantuntijoiden palkkamenot,980000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Hallinto,Valtioneuvoston selvitys- ja tutkimustoiminta,7759000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Hallinto,Terveet tilat 2028,500000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Hallinto,Saamelaisten totuus- ja sovintoprosessin edistäminen,0
Koko budjetti,VALTIONEUVOSTON KANSLIA,Hallinto,Kuurojen totuus- ja sovintoprosessi,438000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Hallinto,Arvonlisäveromenot,19000000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Omistajaohjaus,Osakehankinnat,5700000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Poliittisen toiminnan avustaminen,Puoluetoiminnan tukeminen,35635000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Oikeuskanslerinvirasto,Oikeuskanslerinviraston toimintamenot,4365000
