Total budget,Pääluokan nimi,Menoluvun nimi,Menomomentin nimi,total
Koko budjetti,EDUSKUNTA,Kansanedustajat,Kansanedustajien toimintamenot,23865000
Koko budjetti,EDUSKUNTA,Eduskunnan kanslia,Eduskunnan kanslian toimintamenot,65640000
Koko budjetti,EDUSKUNTA,Eduskunnan kanslia,Arvonlisäveromenot,6200000
Koko budjetti,EDUSKUNTA,Eduskunnan kanslia,Avustajatuki eduskuntaryhmille,7220000
Koko budjetti,EDUSKUNTA,Eduskunnan kanslia,Tietohallinnon laitehankinnat ja kehittämishankkeet,4500000
Koko budjetti,EDUSKUNTA,Eduskunnan oikeusasiamies,Eduskunnan oikeusasiamiehen kanslian toimintamenot,9455000
Koko budjetti,EDUSKUNTA,Ulkopoliittinen instituutti,Ulkopoliittisen instituutin toimintamenot,4827000
Koko budjetti,EDUSKUNTA,Ulkopoliittinen instituutti,Arvonlisäveromenot,260000
Koko budjetti,EDUSKUNTA,Valtiontalouden tarkastusvirasto,Valtiontalouden tarkastusviraston toimintamenot,17585000
Koko budjetti,EDUSKUNTA,Valtiontalouden tarkastusvirasto,Arvonlisäveromenot,700000
Koko budjetti,EDUSKUNTA,Eduskunnan muut menot,Eduskuntaryhmien ryhmäkanslioiden tukeminen,5175000
Koko budjetti,TASAVALLAN PRESIDENTTI,Tasavallan presidentti,Tasavallan presidentin palkkio,154000
Koko budjetti,TASAVALLAN PRESIDENTTI,Tasavallan presidentin kanslia,Tasavallan presidentin kanslian toimintamenot,8977000
Koko budjetti,TASAVALLAN PRESIDENTTI,Tasavallan presidentin kanslia,Entisten tasavallan presidenttien menot,700000
Koko budjetti,TASAVALLAN PRESIDENTTI,Tasavallan presidentin kanslia,Vierailuista ja kokousmatkoista aiheutuvat menot,2550000
Koko budjetti,TASAVALLAN PRESIDENTTI,Tasavallan presidentin kanslia,Arvonlisäveromenot,10000000
Koko budjetti,TASAVALLAN PRESIDENTTI,Tasavallan presidentin kanslia,Perusparannukset,25000000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Hallinto,Valtioneuvoston kanslian toimintamenot,165769000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Hallinto,Ministereiden heidän valtiosihteeriensä ja erityisavustajiensa palkkaukset,15597000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Hallinto,Euroopan unionin kansallisten asiantuntijoiden palkkamenot,2480000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Hallinto,Yhdenvertaisuutta tasa-arvoa ja syrjimättömyyttä koskevan tiedonannon toimeenpano,2000000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Hallinto,Valtioneuvoston selvitys- ja tutkimustoiminta,0
Koko budjetti,VALTIONEUVOSTON KANSLIA,Hallinto,Terveet tilat 2028,0
Koko budjetti,VALTIONEUVOSTON KANSLIA,Hallinto,Saamelaisten totuus- ja sovintoprosessin edistäminen,1358000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Hallinto,Kuurojen totuus- ja sovintoprosessi,0
Koko budjetti,VALTIONEUVOSTON KANSLIA,Hallinto,Arvonlisäveromenot,19000000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Hallinto,Valtionavut Eurooppatiedotukseen,445000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Omistajaohjaus,Osakehankinnat,5700000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Poliittisen toiminnan avustaminen,Puoluetoiminnan tukeminen,34566000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Oikeuskanslerinvirasto,Oikeuskanslerinviraston toimintamenot,4564000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Muut menot,Kunniamerkit,700000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Muut menot,Osallistumismaksut ja maksuosuudet Euroopan hybridiuhkien torjunnan osaamiskeskukselle,2040000
Koko budjetti,ULKOMINISTERIÖN HALLINNONALA,Ulkoasiainhallinto,Ulkoasiainhallinnon toimintamenot,256050000
