Total budget,Pääluokan nimi,Menoluvun nimi,Menomomentin nimi,total
Koko budjetti,EDUSKUNTA,Kansanedustajat,Kansanedustajien toimintamenot,22222000
Koko budjetti,EDUSKUNTA,Eduskunnan kanslia,Eduskunnan kanslian toimintamenot,58001000
Koko budjetti,EDUSKUNTA,Eduskunnan kanslia,Peruskorjaukseen liittyvät toimintamenot,0
Koko budjetti,EDUSKUNTA,Eduskunnan kanslia,Arvonlisäveromenot,6000000
Koko budjetti,EDUSKUNTA,Eduskunnan kanslia,Avustajatuki eduskuntaryhmille,5190000
Koko budjetti,EDUSKUNTA,Eduskunnan kanslia,Tietohallinnon laitehankinnat ja kehittämishankkeet,4000000
Koko budjetti,EDUSKUNTA,Eduskunnan oikeusasiamies,Eduskunnan oikeusasiamiehen kanslian toimintamenot,7517000
Koko budjetti,EDUSKUNTA,Ulkopoliittinen instituutti,Ulkopoliittisen instituutin toimintamenot,3701000
Koko budjetti,EDUSKUNTA,Ulkopoliittinen instituutti,Arvonlisäveromenot,210000
Koko budjetti,EDUSKUNTA,Valtiontalouden tarkastusvirasto,Valtiontalouden tarkastusviraston toimintamenot,16554000
Koko budjetti,EDUSKUNTA,Valtiontalouden tarkastusvirasto,Arvonlisäveromenot,650000
Koko budjetti,EDUSKUNTA,Eduskunnan muut menot,Eduskuntaryhmien ryhmäkanslioiden tukeminen,4510000
Koko budjetti,TASAVALLAN PRESIDENTTI,Tasavallan presidentti,Tasavallan presidentin palkkio,126000
Koko budjetti,TASAVALLAN PRESIDENTTI,Tasavallan presidentin kanslia,Tasavallan presidentin kanslian toimintamenot,8585000
Koko budjetti,TASAVALLAN PRESIDENTTI,Tasavallan presidentin kanslia,Entisten tasavallan presidenttien menot,500000
Koko budjetti,TASAVALLAN PRESIDENTTI,Tasavallan presidentin kanslia,Vierailuista ja kokousmatkoista aiheutuvat menot,2550000
Koko budjetti,TASAVALLAN PRESIDENTTI,Tasavallan presidentin kanslia,Arvonlisäveromenot,2000000
Koko budjetti,TASAVALLAN PRESIDENTTI,Tasavallan presidentin kanslia,Perusparannukset,5000000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Hallinto,Valtioneuvoston kanslian toimintamenot,135094000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Hallinto,Ministereiden heidän valtiosihteeriensä ja erityisavustajiensa palkkaukset,11473000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Hallinto,Euroopan unionin kansallisten asiantuntijoiden palkkamenot,990000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Hallinto,Valtioneuvoston selvitys- ja tutkimustoiminta,10793000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Hallinto,Suomen EU-puheenjohtajuus,0
Koko budjetti,VALTIONEUVOSTON KANSLIA,Hallinto,Terveet tilat 2028,1500000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Hallinto,Arvonlisäveromenot,19000000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Omistajaohjaus,Osakehankinnat,355700000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Poliittisen toiminnan avustaminen,Puoluetoiminnan tukeminen,35635000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Oikeuskanslerinvirasto,Oikeuskanslerinviraston toimintamenot,3812000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Muut menot,Kunniamerkit,700000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Muut menot,Jäsenmaksut ja maksuosuudet Euroopan hybridiuhkien torjunnan osaamiskeskukselle,1620000
Koko budjetti,ULKOMINISTERIÖN HALLINNONALA,Ulkoasiainhallinto,Ulkoasiainhallinnon toimintamenot,251236000
Koko budjetti,ULKOMINISTERIÖN HALLINNONALA,Ulkoasiainhallinto,Tiede- ja kulttuuri-instituuttikiinteistöjen menot,2987000
