Total budget,Pääluokan nimi,Menoluvun nimi,Menomomentin nimi,total
Koko budjetti,EDUSKUNTA,Kansanedustajat,Kansanedustajien toimintamenot,21639000
Koko budjetti,EDUSKUNTA,Eduskunnan kanslia,Eduskunnan kanslian toimintamenot,54034000
Koko budjetti,EDUSKUNTA,Eduskunnan kanslia,Peruskorjaukseen liittyvät toimintamenot,6893000
Koko budjetti,EDUSKUNTA,Eduskunnan kanslia,Arvonlisäveromenot,15500000
Koko budjetti,EDUSKUNTA,Eduskunnan kanslia,Avustajatuki eduskuntaryhmille,2790000
Koko budjetti,EDUSKUNTA,Eduskunnan kanslia,Tietohallinnon laitehankinnat ja kehittämishankkeet,5325000
Koko budjetti,EDUSKUNTA,Eduskunnan kanslia,Eduskunnan rakennusten peruskorjaukset,44000000
Koko budjetti,EDUSKUNTA,Eduskunnan oikeusasiamies,Eduskunnan oikeusasiamiehen kanslian toimintamenot,6201000
Koko budjetti,EDUSKUNTA,Ulkopoliittinen instituutti,Ulkopoliittisen instituutin toimintamenot,3398000
Koko budjetti,EDUSKUNTA,Ulkopoliittinen instituutti,Arvonlisäveromenot,210000
Koko budjetti,EDUSKUNTA,Valtiontalouden tarkastusvirasto,Valtiontalouden tarkastusviraston toimintamenot,15325000
Koko budjetti,EDUSKUNTA,Valtiontalouden tarkastusvirasto,Arvonlisäveromenot,590000
Koko budjetti,EDUSKUNTA,Eduskunnan muut menot,Eduskuntaryhmien ryhmäkanslioiden tukeminen,4083000
Koko budjetti,TASAVALLAN PRESIDENTTI,Tasavallan presidentti,Tasavallan presidentin palkkio,126000
Koko budjetti,TASAVALLAN PRESIDENTTI,Tasavallan presidentti,Tasavallan presidentin toimintamenot,199000
Koko budjetti,TASAVALLAN PRESIDENTTI,Tasavallan presidentti,Vierailuista ja kokousmatkoista aiheutuvat menot,2550000
Koko budjetti,TASAVALLAN PRESIDENTTI,Tasavallan presidentin kanslia,Tasavallan presidentin kanslian toimintamenot,7754000
Koko budjetti,TASAVALLAN PRESIDENTTI,Tasavallan presidentin kanslia,Eläkkeellä olevien presidenttien menot,600000
Koko budjetti,TASAVALLAN PRESIDENTTI,Tasavallan presidentin kanslia,Arvonlisäveromenot,2500000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Hallinto,Valtioneuvoston kanslian toimintamenot,123240000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Hallinto,Ministereiden heidän valtiosihteeriensä ja erityisavustajiensa palkkaukset,5575000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Hallinto,Euroopan unionin kansallisten asiantuntijoiden palkkamenot,1000000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Hallinto,Pääministerin kansliassa toimivien ministereiden ja heidän avustajiensa matkat,867000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Hallinto,Valtioneuvoston selvitys- ja tutkimustoiminta,11400000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Hallinto,Arvonlisäveromenot,19446000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Omistajaohjaus,Osakehankinnat,5700000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Poliittisen toiminnan avustaminen,Puoluetoiminnan tukeminen,29635000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Oikeuskanslerinvirasto,Oikeuskanslerinviraston toimintamenot,3467000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Muut menot,Kunniamerkit,700000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Muut menot,Suomi 100,10100000
Koko budjetti,ULKOASIAINMINISTERIÖN HALLINNONALA,Ulkoasiainhallinto,Ulkoasiainhallinnon toimintamenot,220484000
Koko budjetti,ULKOASIAINMINISTERIÖN HALLINNONALA,Ulkoasiainhallinto,Tiede- ja kulttuuri-instituuttikiinteistöjen menot,2282000
Koko budjetti,ULKOASIAINMINISTERIÖN HALLINNONALA,Ulkoasiainhallinto,Ulkoasiainministeriön hallinnonalan tuottavuusmääräraha,1155000
Koko budjetti,ULKOASIAINMINISTERIÖN HALLINNONALA,Ulkoasiainhallinto,Ulkoasiainministeriön hallinnonalan arvonlisäveromenot,16059000
Koko budjetti,ULKOASIAINMINISTERIÖN HALLINNONALA,Ulkoasiainhallinto,Talonrakennukset,7750000
Koko budjetti,ULKOASIAINMINISTERIÖN HALLINNONALA,Ulkoasiainhallinto,Kiinteistöjen ja huoneistojen hankkiminen,0
Koko budjetti,ULKOASIAINMINISTERIÖN HALLINNONALA,Kriisinhallinta,Suomalaisten kriisinhallintajoukkojen ylläpitomenot,49774000
Koko budjetti,ULKOASIAINMINISTERIÖN HALLINNONALA,Kriisinhallinta,Siviilihenkilöstön osallistuminen kriisinhallintaan,15360000
Koko budjetti,ULKOASIAINMINISTERIÖN HALLINNONALA,Kansainvälinen kehitysyhteistyö,Valtionapu Teollisen yhteistyön rahasto Oy:lle,0
Koko budjetti,ULKOASIAINMINISTERIÖN HALLINNONALA,Kansainvälinen kehitysyhteistyö,Varsinainen kehitysyhteistyö,535195000
Koko budjetti,ULKOASIAINMINISTERIÖN HALLINNONALA,Kansainvälinen kehitysyhteistyö,Finnfundin (Teollisen yhteistyön rahasto Oy) pääoman korottaminen,10000000
Koko budjetti,ULKOASIAINMINISTERIÖN HALLINNONALA,Kansainvälinen kehitysyhteistyö,Kehitysyhteistyön finanssisijoitukset,130000000
Koko budjetti,ULKOASIAINMINISTERIÖN HALLINNONALA,Ulkoasiainministeriön hallinnonalan muut menot,Eräät valtionavut,1341000
Koko budjetti,ULKOASIAINMINISTERIÖN HALLINNONALA,Ulkoasiainministeriön hallinnonalan muut menot,Hädänalaisten avustaminen,45000
Koko budjetti,ULKOASIAINMINISTERIÖN HALLINNONALA,Ulkoasiainministeriön hallinnonalan muut menot,Eräät jäsenmaksut ja rahoitusosuudet,86992000
Koko budjetti,ULKOASIAINMINISTERIÖN HALLINNONALA,Ulkoasiainministeriön hallinnonalan muut menot,Kansainvälisen ilmastosopimuksen alaisen yhteistyön menot,100000
Koko budjetti,ULKOASIAINMINISTERIÖN HALLINNONALA,Ulkoasiainministeriön hallinnonalan muut menot,Itämeren Barentsin ja arktisen alueen yhteistyö,1800000
Koko budjetti,ULKOASIAINMINISTERIÖN HALLINNONALA,Ulkoasiainministeriön hallinnonalan muut menot,Kurssivaihtelut,1000000
Koko budjetti,OIKEUSMINISTERIÖN HALLINNONALA,Ministeriö ja hallinto,Oikeusministeriön toimintamenot,20446000
Koko budjetti,OIKEUSMINISTERIÖN HALLINNONALA,Ministeriö ja hallinto,Oikeusministeriön yhteydessä toimivien viranomaisten toimintamenot,7188000
Koko budjetti,OIKEUSMINISTERIÖN HALLINNONALA,Ministeriö ja hallinto,Oikeusrekisterikeskuksen toimintamenot,8301000
Koko budjetti,OIKEUSMINISTERIÖN HALLINNONALA,Ministeriö ja hallinto,Erityismenot,19032000
Koko budjetti,OIKEUSMINISTERIÖN HALLINNONALA,Ministeriö ja hallinto,Oikeusministeriön hallinnonalan tuottavuusmääräraha,245000
Koko budjetti,OIKEUSMINISTERIÖN HALLINNONALA,Ministeriö ja hallinto,Toimisto- ja viestintäjärjestelmien valtavirtaistaminen,2184000
Koko budjetti,OIKEUSMINISTERIÖN HALLINNONALA,Ministeriö ja hallinto,Oikeusministeriön hallinnonalan arvonlisäveromenot,43705000
Koko budjetti,OIKEUSMINISTERIÖN HALLINNONALA,Ministeriö ja hallinto,Avustukset,8305000
