Total budget,Pääluokan nimi,Menoluvun nimi,Menomomentin nimi,total
Koko budjetti,EDUSKUNTA,Kansanedustajat,Kansanedustajien toimintamenot,22250000
Koko budjetti,EDUSKUNTA,Eduskunnan kanslia,Eduskunnan kanslian toimintamenot,56901000
Koko budjetti,EDUSKUNTA,Eduskunnan kanslia,Peruskorjaukseen liittyvät toimintamenot,484000
Koko budjetti,EDUSKUNTA,Eduskunnan kanslia,Arvonlisäveromenot,6500000
Koko budjetti,EDUSKUNTA,Eduskunnan kanslia,Avustajatuki eduskuntaryhmille,5100000
Koko budjetti,EDUSKUNTA,Eduskunnan kanslia,Tietohallinnon laitehankinnat ja kehittämishankkeet,4000000
Koko budjetti,EDUSKUNTA,Eduskunnan oikeusasiamies,Eduskunnan oikeusasiamiehen kanslian toimintamenot,7226000
Koko budjetti,EDUSKUNTA,Ulkopoliittinen instituutti,Ulkopoliittisen instituutin toimintamenot,3594000
Koko budjetti,EDUSKUNTA,Ulkopoliittinen instituutti,Arvonlisäveromenot,220000
Koko budjetti,EDUSKUNTA,Valtiontalouden tarkastusvirasto,Valtiontalouden tarkastusviraston toimintamenot,15804000
Koko budjetti,EDUSKUNTA,Valtiontalouden tarkastusvirasto,Arvonlisäveromenot,650000
Koko budjetti,EDUSKUNTA,Eduskunnan muut menot,Eduskuntaryhmien ryhmäkanslioiden tukeminen,4377000
Koko budjetti,TASAVALLAN PRESIDENTTI,Tasavallan presidentti,Tasavallan presidentin palkkio,126000
Koko budjetti,TASAVALLAN PRESIDENTTI,Tasavallan presidentti,Tasavallan presidentin toimintamenot,199000
Koko budjetti,TASAVALLAN PRESIDENTTI,Tasavallan presidentti,Vierailuista ja kokousmatkoista aiheutuvat menot,2550000
Koko budjetti,TASAVALLAN PRESIDENTTI,Tasavallan presidentin kanslia,Tasavallan presidentin kanslian toimintamenot,8249000
Koko budjetti,TASAVALLAN PRESIDENTTI,Tasavallan presidentin kanslia,Eläkkeellä olevien presidenttien menot,500000
Koko budjetti,TASAVALLAN PRESIDENTTI,Tasavallan presidentin kanslia,Arvonlisäveromenot,2000000
Koko budjetti,TASAVALLAN PRESIDENTTI,Tasavallan presidentin kanslia,Perusparannukset,2500000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Hallinto,Valtioneuvoston kanslian toimintamenot,124396000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Hallinto,Ministereiden heidän valtiosihteeriensä ja erityisavustajiensa palkkaukset,11500000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Hallinto,Euroopan unionin kansallisten asiantuntijoiden palkkamenot,995000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Hallinto,Pääministerin kansliassa toimivien ministereiden ja heidän avustajiensa matkat,865000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Hallinto,Valtioneuvoston selvitys- ja tutkimustoiminta,10839000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Hallinto,Kokeilutoiminnan digitaalinen edistäminen,0
Koko budjetti,VALTIONEUVOSTON KANSLIA,Hallinto,Suomen EU-puheenjohtajuus,3000000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Hallinto,Terveet tilat 2028,1500000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Hallinto,Saamelaisten totuus- ja sovintoprosessin edistäminen,0
Koko budjetti,VALTIONEUVOSTON KANSLIA,Hallinto,Arvonlisäveromenot,19000000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Omistajaohjaus,Osakehankinnat,5700000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Poliittisen toiminnan avustaminen,Puoluetoiminnan tukeminen,35635000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Oikeuskanslerinvirasto,Oikeuskanslerinviraston toimintamenot,3501000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Muut menot,Kunniamerkit,700000
Koko budjetti,VALTIONEUVOSTON KANSLIA,Muut menot,Jäsenmaksut ja maksuosuudet Euroopan hybridiuhkien torjunnan osaamiskeskukselle,1380000
